FileVersion	TransferId	ReportDate	StudyId	AssayVersion
D0004490-rev4	abfdbb69-ad4c-4feb-8218-7764b6995b66	2022-09-08	SS-2216784	v4.1

SampleId	SampleName	ExtIdentifier	RowCheck	TestName	ProductIDandVersion	PredictedValue	Units	PredictedClass	UseClass
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Spin Plasma	R1143 V01	0.7	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Time-to-Freeze Plasma	R1145 V01	3.0	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Fed-Fasted Plasma	R1152 V01	2.6	Hours		Research Use Only
1	a0y4W00000kgfiSQAQ	EXID40000007910343	PASS	Freeze-Thaw Plasma	R1154 V01	5.4	Cycles		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Spin Plasma	R1143 V01	8.9	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Decant Plasma	R1144 V01	4.6	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Time-to-Freeze Plasma	R1145 V01	2.1	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Fed-Fasted Plasma	R1152 V01	5.8	Hours		Research Use Only
6	a0y4W00000kgfiXQAQ	EXID40000007910468	PASS	Freeze-Thaw Plasma	R1154 V01	6.5	Cycles		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Spin Plasma	R1143 V01	6.5	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Time-to-Freeze Plasma	R1145 V01	2.2	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Fed-Fasted Plasma	R1152 V01	6.7	Hours		Research Use Only
311	a0y4W00000kgfjPQAQ	EXID40000007910479	PASS	Freeze-Thaw Plasma	R1154 V01	3.3	Cycles		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Spin Plasma	R1143 V01	11.3	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Decant Plasma	R1144 V01	13.2	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Time-to-Freeze Plasma	R1145 V01	5.8	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Fed-Fasted Plasma	R1152 V01	1.5	Hours		Research Use Only
54	a0y4W00000kgfirQAA	EXID40000007910325	PASS	Freeze-Thaw Plasma	R1154 V01	5.8	Cycles		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Time-to-Spin Plasma	R1143 V01	10.1	Hours		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Time-to-Decant Plasma	R1144 V01	17.2	Hours		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Time-to-Freeze Plasma	R1145 V01	11.5	Hours		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Fed-Fasted Plasma	R1152 V01	5.3	Hours		Research Use Only
76	a0y4W00000kgfj7QAA	EXID40000007910463	PASS	Freeze-Thaw Plasma	R1154 V01	6.0	Cycles		Research Use Only
306	a0y4W00000kgfjNQAQ	EXID40000007910332	PASS	Time-to-Spin Plasma	R1143 V01	3.4	Hours		Research Use Only
306	a0y4W00000kgfjNQAQ	EXID40000007910332	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
306	a0y4W00000kgfjNQAQ	EXID40000007910332	PASS	Time-to-Freeze Plasma	R1145 V01	0.0	Hours		Research Use Only
306	a0y4W00000kgfjNQAQ	EXID40000007910332	PASS	Fed-Fasted Plasma	R1152 V01	0.8	Hours		Research Use Only
306	a0y4W00000kgfjNQAQ	EXID40000007910332	PASS	Freeze-Thaw Plasma	R1154 V01	2.1	Cycles		Research Use Only
74	a0y4W00000kgfj6QAA	EXID40000007910328	PASS	Time-to-Spin Plasma	R1143 V01	13.5	Hours		Research Use Only
74	a0y4W00000kgfj6QAA	EXID40000007910328	PASS	Time-to-Decant Plasma	R1144 V01	6.7	Hours		Research Use Only
74	a0y4W00000kgfj6QAA	EXID40000007910328	PASS	Time-to-Freeze Plasma	R1145 V01	5.8	Hours		Research Use Only
74	a0y4W00000kgfj6QAA	EXID40000007910328	PASS	Fed-Fasted Plasma	R1152 V01	6.5	Hours		Research Use Only
74	a0y4W00000kgfj6QAA	EXID40000007910328	PASS	Freeze-Thaw Plasma	R1154 V01	6.4	Cycles		Research Use Only
219	a0y4W00000kgfjEQAQ	EXID40000007910321	PASS	Time-to-Spin Plasma	R1143 V01	8.4	Hours		Research Use Only
219	a0y4W00000kgfjEQAQ	EXID40000007910321	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
219	a0y4W00000kgfjEQAQ	EXID40000007910321	PASS	Time-to-Freeze Plasma	R1145 V01	0.0	Hours		Research Use Only
219	a0y4W00000kgfjEQAQ	EXID40000007910321	PASS	Fed-Fasted Plasma	R1152 V01	6.7	Hours		Research Use Only
219	a0y4W00000kgfjEQAQ	EXID40000007910321	PASS	Freeze-Thaw Plasma	R1154 V01	2.3	Cycles		Research Use Only
207	a0y4W00000kgfjDQAQ	EXID40000007910323	PASS	Time-to-Spin Plasma	R1143 V01	1.0	Hours		Research Use Only
207	a0y4W00000kgfjDQAQ	EXID40000007910323	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
207	a0y4W00000kgfjDQAQ	EXID40000007910323	PASS	Time-to-Freeze Plasma	R1145 V01	6.0	Hours		Research Use Only
207	a0y4W00000kgfjDQAQ	EXID40000007910323	PASS	Fed-Fasted Plasma	R1152 V01	4.1	Hours		Research Use Only
207	a0y4W00000kgfjDQAQ	EXID40000007910323	PASS	Freeze-Thaw Plasma	R1154 V01	4.3	Cycles		Research Use Only
75838 (3)	a0y4W00000kgfiUQAQ	EXID40000007910466	PASS	Time-to-Spin Plasma	R1143 V01	6.4	Hours		Research Use Only
75838 (3)	a0y4W00000kgfiUQAQ	EXID40000007910466	PASS	Time-to-Decant Plasma	R1144 V01	2.0	Hours		Research Use Only
75838 (3)	a0y4W00000kgfiUQAQ	EXID40000007910466	PASS	Time-to-Freeze Plasma	R1145 V01	5.1	Hours		Research Use Only
75838 (3)	a0y4W00000kgfiUQAQ	EXID40000007910466	PASS	Fed-Fasted Plasma	R1152 V01	8.3	Hours		Research Use Only
75838 (3)	a0y4W00000kgfiUQAQ	EXID40000007910466	PASS	Freeze-Thaw Plasma	R1154 V01	5.5	Cycles		Research Use Only
69	a0y4W00000kgfj1QAA	EXID40000007910048	PASS	Time-to-Spin Plasma	R1143 V01	13.1	Hours		Research Use Only
69	a0y4W00000kgfj1QAA	EXID40000007910048	PASS	Time-to-Decant Plasma	R1144 V01	3.8	Hours		Research Use Only
69	a0y4W00000kgfj1QAA	EXID40000007910048	PASS	Time-to-Freeze Plasma	R1145 V01	3.8	Hours		Research Use Only
69	a0y4W00000kgfj1QAA	EXID40000007910048	PASS	Fed-Fasted Plasma	R1152 V01	1.8	Hours		Research Use Only
69	a0y4W00000kgfj1QAA	EXID40000007910048	PASS	Freeze-Thaw Plasma	R1154 V01	2.8	Cycles		Research Use Only
41	a0y4W00000kgfikQAA	EXID40000007910347	FLAG	Time-to-Spin Plasma	R1143 V01	16.2	Hours		Research Use Only
41	a0y4W00000kgfikQAA	EXID40000007910347	FLAG	Time-to-Decant Plasma	R1144 V01	7.9	Hours		Research Use Only
41	a0y4W00000kgfikQAA	EXID40000007910347	FLAG	Time-to-Freeze Plasma	R1145 V01	4.3	Hours		Research Use Only
41	a0y4W00000kgfikQAA	EXID40000007910347	FLAG	Freeze-Thaw Plasma	R1154 V01	4.7	Cycles		Research Use Only
16	a0y4W00000kgfiaQAA	EXID40000007910039	PASS	Time-to-Spin Plasma	R1143 V01	10.5	Hours		Research Use Only
16	a0y4W00000kgfiaQAA	EXID40000007910039	PASS	Time-to-Decant Plasma	R1144 V01	9.4	Hours		Research Use Only
16	a0y4W00000kgfiaQAA	EXID40000007910039	PASS	Time-to-Freeze Plasma	R1145 V01	7.4	Hours		Research Use Only
16	a0y4W00000kgfiaQAA	EXID40000007910039	PASS	Fed-Fasted Plasma	R1152 V01	6.4	Hours		Research Use Only
16	a0y4W00000kgfiaQAA	EXID40000007910039	PASS	Freeze-Thaw Plasma	R1154 V01	4.3	Cycles		Research Use Only
2	a0y4W00000kgfiTQAQ	EXID40000007910307	PASS	Time-to-Spin Plasma	R1143 V01	7.2	Hours		Research Use Only
2	a0y4W00000kgfiTQAQ	EXID40000007910307	PASS	Time-to-Decant Plasma	R1144 V01	0.5	Hours		Research Use Only
2	a0y4W00000kgfiTQAQ	EXID40000007910307	PASS	Time-to-Freeze Plasma	R1145 V01	4.0	Hours		Research Use Only
2	a0y4W00000kgfiTQAQ	EXID40000007910307	PASS	Fed-Fasted Plasma	R1152 V01	5.7	Hours		Research Use Only
2	a0y4W00000kgfiTQAQ	EXID40000007910307	PASS	Freeze-Thaw Plasma	R1154 V01	5.8	Cycles		Research Use Only
63	a0y4W00000kgfiwQAA	EXID40000007910339	PASS	Time-to-Spin Plasma	R1143 V01	3.1	Hours		Research Use Only
